TrialNumber,BlockNumber,Run,StepNumber,ConditionCode,ConditionName,Domain,QuestionResult,ReversalPoints,StairCaseValue,TimeStampStartQuestion,TimestampEndQuestion,ResponseTime,Attempt,percent,log_percent,SCV_abs,max_strength,ReversalVal,Subject,Study,Filename
50,3,1,6,1220202,Fast,Nature,1,0,0.131072,123226760,123227495,0.7349989,1,32.768,3.5195136084802,0.131072,0.4,,003,05,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350.csv
51,3,1,7,1220202,Fast,Nature,1,0,0.1048576,123236120,123237511,1.39165,1,26.2144,3.30374624497769,0.1048576,0.4,,003,05,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350.csv
52,3,1,8,1220202,Fast,Nature,1,0,0.08388608,123246115,123247328,1.212964,1,20.97152,3.08974706925595,0.08388608,0.4,,003,05,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350.csv
53,3,1,9,1220202,Fast,Nature,1,0,0.06710886,123255930,123257187,1.257184,1,16.777215,2.87791758114654,0.06710886,0.4,,003,05,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350.csv
54,3,1,10,1220202,Fast,Nature,1,0,0.05368709,123305790,123306889,1.098653,1,13.4217725,2.66873904385899,0.05368709,0.4,,003,05,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350.csv
55,3,1,11,1220202,Fast,Nature,1,0,0.04294967,123315491,123316639,1.147455,1,10.7374175,2.46278181575569,0.04294967,0.4,,003,05,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350.csv
56,3,1,12,1220202,Fast,Nature,1,0,0.03435973,123325232,123326466,1.234011,1,8.5899325,2.26071385028872,0.03435973,0.4,,003,05,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350.csv
57,3,1,13,1220202,Fast,Nature,1,0,0.02748778,123335081,123336646,1.564668,1,6.871945,2.06330517293693,0.02748778,0.4,,003,05,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350.csv
58,3,1,14,1220202,Fast,Nature,0,1,0.02199022,123345247,123346121,0.874224,1,5.497555,1.87142595229183,0.02199022,0.4,0.02199022,003,05,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350.csv
59,3,1,15,1220202,Fast,Nature,0,0,0.02748777,123354729,123356340,1.611004,1,6.8719425,2.06330485535336,0.02748777,0.4,,003,05,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350.csv
60,3,1,16,1220202,Fast,Nature,0,0,0.03435971,123404935,123406719,1.784402,1,8.5899275,2.26071332890848,0.03435971,0.4,,003,05,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350.csv
61,3,1,17,1220202,Fast,Nature,0,0,0.04294964,123415401,123416894,1.492316,1,10.73741,2.46278117677335,0.04294964,0.4,,003,05,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350.csv
62,3,1,18,1220202,Fast,Nature,0,0,0.05368705,123425555,123426582,1.026714,1,13.4217625,2.6687383504627,0.05368705,0.4,,003,05,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350.csv
63,3,1,19,1220202,Fast,Nature,1,1,0.06710881,123435239,123436492,1.252239,1,16.7772025,2.87791687799903,0.06710881,0.4,0.06710881,003,05,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350.csv
64,3,1,20,1220202,Fast,Nature,1,0,0.05368705,123445076,123446116,1.040101,1,13.4217625,2.6687383504627,0.05368705,0.4,,003,05,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350.csv
65,3,1,21,1220202,Fast,Nature,0,1,0.04294964,123454708,123455493,0.7855249,1,10.73741,2.46278117677335,0.04294964,0.4,0.04294964,003,05,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350.csv
66,3,1,22,1220202,Fast,Nature,0,0,0.05368705,123504071,123505144,1.073215,1,13.4217625,2.6687383504627,0.05368705,0.4,,003,05,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350.csv
67,3,1,23,1220202,Fast,Nature,1,1,0.06710881,123513743,123514525,0.7829888,1,16.7772025,2.87791687799903,0.06710881,0.4,0.06710881,003,05,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350.csv
68,3,1,24,1220202,Fast,Nature,0,1,0.05368705,123523115,123524826,1.711082,1,13.4217625,2.6687383504627,0.05368705,0.4,0.05368705,003,05,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350.csv
72,4,1,1,3010202,Unsaturated,Perception,1,0,-25.97,123608693,123610267,1.574448,1,100,4.61512051684126,25.97,-25.97,,003,05,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350.csv
73,4,1,2,3010202,Unsaturated,Perception,1,0,-20.776,123618863,123620731,1.867809,1,80,4.39444915467244,20.776,-25.97,,003,05,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350.csv
74,4,1,3,3010202,Unsaturated,Perception,1,0,-16.6208,123629334,123630811,1.477425,1,64,4.17438726989564,16.6208,-25.97,,003,05,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350.csv
75,4,1,4,3010202,Unsaturated,Perception,1,0,-13.29664,123639389,123640377,0.9879993,1,51.2,3.95508249488859,13.29664,-25.97,,003,05,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350.csv
76,4,1,5,3010202,Unsaturated,Perception,0,1,-10.63731,123648962,123650073,1.110663,1,40.9599922988063,3.73671659999153,10.63731,-25.97,10.63731,003,05,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350.csv
77,4,1,6,3010202,Unsaturated,Perception,1,1,-13.29664,123658647,123659698,1.051016,1,51.2,3.95508249488859,13.29664,-25.97,13.29664,003,05,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350.csv
78,4,1,7,3010202,Unsaturated,Perception,0,1,-10.63731,123708283,123709137,0.8539976,1,40.9599922988063,3.73671659999153,10.63731,-25.97,10.63731,003,05,Answers_Sub-003_Plan-Sofa_RunID-20231213-122350.csv
